actual_route,beamwidth,bucket,passes_p95_10ms,passes_primary,route,row_index,search_l,selector_type,serving_configuration,v1_avg_latency_ms,v1_p95_latency_ms,v1_recall@10,v3_avg_latency_ms,v3_bytes_per_4k,v3_mean_n_4k,v3_mean_read_size,v3_p95_latency_ms,v3_recall@10,variant
prefilter,4,u50,True,True,prefilter,117,400,range,selected route/L/beamwidth,9.399845144999999,9.823295,98.67,7.892863518,4096.0,459.811,1883385.856,8.17911,98.67,no_retrain_across_cycles
mixed,8,u75,True,True,graph,118,500,range,selected route/L/beamwidth,10.160574535,11.012181,98.02,7.7103506070000005,4096.0,587.505,2406420.48,7.546124,98.21,no_retrain_across_cycles
mixed,8,u100,True,True,graph,119,450,range,selected route/L/beamwidth,9.351639936,9.721729999999999,98.24,6.458396178,4096.0,531.105,2175406.08,6.858219,98.24,no_retrain_across_cycles
prefilter,4,u1e-03,True,True,prefilter,120,50,intersect,selected route/L/beamwidth,0.162567682,0.18081999999999998,99.98,0.15742505299999998,4096.0,110.079,450883.584,0.17031,99.98,retrain_each_cycle
prefilter,4,u3e-03,True,True,prefilter,121,100,intersect,selected route/L/beamwidth,0.215890218,0.235466,99.87,0.21612443099999998,4096.0,114.989,470994.944,0.236225,99.87,retrain_each_cycle
prefilter,4,u1e-02,True,True,prefilter,122,100,intersect,selected route/L/beamwidth,0.386120623,0.426133,99.8,0.392985656,4096.0,148.009,606244.864,0.418916,99.8,retrain_each_cycle
prefilter,4,u5e-02,True,True,prefilter,123,100,intersect,selected route/L/beamwidth,1.175285809,1.227873,99.13,1.1402857039999998,4096.0,184.956,757579.776,1.183721,99.13,retrain_each_cycle
prefilter,4,u1e-01,True,True,prefilter,124,75,intersect,selected route/L/beamwidth,1.869095907,2.0852820000000003,98.71,1.82032356,4096.0,184.439,755462.144,1.875107,98.71,retrain_each_cycle
prefilter,4,u25,True,True,prefilter,125,300,intersect,selected route/L/beamwidth,4.273900363,4.363805999999999,98.45,4.065546136,4096.0,345.534,1415307.264,4.173821,98.45,retrain_each_cycle
prefilter,4,u30,True,True,prefilter,126,300,intersect,selected route/L/beamwidth,5.037064319,5.295468,98.46,4.726294075,4096.0,345.269,1414221.824,4.828462,98.46,retrain_each_cycle
prefilter,4,u50,True,True,prefilter,127,300,intersect,selected route/L/beamwidth,7.722789151,8.116525,98.39,7.370565587,4096.0,345.786,1416339.456,7.542232,98.39,retrain_each_cycle
graph,8,u75,True,True,graph,128,450,intersect,selected route/L/beamwidth,9.384198713,12.141973,98.15,6.290412099,4096.0,526.139,2155065.344,6.596466,98.15,retrain_each_cycle
graph,4,u100,True,True,graph,129,400,intersect,selected route/L/beamwidth,8.264666876,8.536005,98.41,9.17893913,4096.0,469.099,1921429.504,9.560553,98.41,retrain_each_cycle
prefilter,4,u1e-03,True,True,prefilter,130,50,range,selected route/L/beamwidth,0.163765091,0.1804,99.98,0.15647251499999998,4096.0,110.079,450883.584,0.16958,99.98,retrain_each_cycle
prefilter,4,u3e-03,True,True,prefilter,131,50,range,selected route/L/beamwidth,0.21156118100000001,0.232386,99.87,0.215784624,4096.0,110.399,452194.304,0.2377,99.87,retrain_each_cycle
prefilter,4,u1e-02,True,True,prefilter,132,50,range,selected route/L/beamwidth,0.395465881,0.444625,99.8,0.408093914,4096.0,148.009,606244.864,0.440257,99.8,retrain_each_cycle
prefilter,4,u5e-02,True,True,prefilter,133,150,range,selected route/L/beamwidth,1.175634123,1.242123,99.13,1.182899798,4096.0,184.956,757579.776,1.240778,99.13,retrain_each_cycle
